"rank","name","state_abbrev","party_loyalty","votes_cast","party","congress"
1,"SCHUMER, Charles Ellis (Chuck)","NY",0.974736842105263,475,"D",112
2,"CARDIN, Benjamin Louis","MD",0.973140495867769,484,"D",112
3,"UDALL, Thomas (Tom)","NM",0.972457627118644,472,"D",112
4,"KERRY, John Forbes","MA",0.967391304347826,460,"D",112
5,"COONS, Christopher A.","DE",0.966942148760331,484,"D",112
6,"MENENDEZ, Robert","NJ",0.963983050847458,472,"D",112
7,"GILLIBRAND, Kirsten","NY",0.962655601659751,482,"D",112
8.5,"BINGAMAN, Jesse Francis, Jr. (Jeff)","NM",0.9625,480,"D",112
8.5,"JOHNSON, Timothy Peter (Tim)","SD",0.9625,480,"D",112
10,"SHAHEEN, Jeanne","NH",0.960416666666667,480,"D",112
11,"LAUTENBERG, Frank Raleigh","NJ",0.959821428571429,448,"D",112
12,"BLUMENTHAL, Richard","CT",0.959660297239915,471,"D",112
13.5,"REED, John F. (Jack)","RI",0.958592132505176,483,"D",112
13.5,"FRANKEN, Al","MN",0.958592132505176,483,"D",112
15,"WHITEHOUSE, Sheldon","RI",0.95850622406639,482,"D",112
16,"MURRAY, Patty","WA",0.958071278825996,477,"D",112
17,"FEINSTEIN, Dianne","CA",0.957983193277311,476,"D",112
18,"AKAKA, Daniel Kahikina","HI",0.957805907172996,474,"D",112
19,"INOUYE, Daniel Ken","HI",0.957746478873239,426,"D",112
20,"ROCKEFELLER, John Davison IV (Jay)","WV",0.956818181818182,440,"D",112
21,"DURBIN, Richard Joseph","IL",0.954166666666667,480,"D",112
22,"BOXER, Barbara","CA",0.952914798206278,446,"D",112
23,"BROWN, Sherrod","OH",0.951983298538622,479,"D",112
24,"REID, Harry","NV",0.950413223140496,484,"D",112
25,"MIKULSKI, Barbara Ann","MD",0.94979079497908,478,"D",112
26,"LEAHY, Patrick Joseph","VT",0.949367088607595,474,"D",112
27,"WYDEN, Ronald Lee","OR",0.948827292110874,469,"D",112
28,"LEVIN, Carl","MI",0.94639175257732,485,"D",112
29,"BENNET, Michael F.","CO",0.945720250521921,479,"D",112
30,"NELSON, Clarence William (Bill)","FL",0.943983402489627,482,"D",112
31,"CASEY, Robert (Bob), Jr.","PA",0.943514644351464,478,"D",112
32,"CONRAD, Kent","ND",0.94291754756871,473,"D",112
33.5,"HARKIN, Thomas Richard (Tom)","IA",0.942307692307692,468,"D",112
33.5,"KOHL, Herbert H.","WI",0.942307692307692,468,"D",112
35,"CANTWELL, Maria E.","WA",0.942028985507246,483,"D",112
36,"KLOBUCHAR, Amy","MN",0.939958592132505,483,"D",112
37,"STABENOW, Deborah Ann","MI",0.937238493723849,478,"D",112
38,"MERKLEY, Jeff","OR",0.935146443514644,478,"D",112
39,"WARNER, Mark","VA",0.935064935064935,462,"D",112
40,"UDALL, Mark","CO",0.934873949579832,476,"D",112
41,"CARPER, Thomas Richard","DE",0.933884297520661,484,"D",112
42,"LANDRIEU, Mary L.","LA",0.923566878980892,471,"D",112
43,"HAGAN, Kay","NC",0.922268907563025,476,"D",112
44,"BEGICH, Mark","AK",0.920168067226891,476,"D",112
45,"BAUCUS, Max Sieben","MT",0.912681912681913,481,"D",112
46,"TESTER, Jon","MT",0.910788381742739,482,"D",112
47,"LIEBERMAN, Joseph I.","CT",0.907725321888412,466,"D",112
48,"WEBB, James H. (Jim)","VA",0.907327586206897,464,"D",112
49,"PRYOR, Mark","AR",0.89517819706499,477,"D",112
50,"McCASKILL, Claire","MO",0.856837606837607,468,"D",112
51,"NELSON, Earl Benjamin (Ben)","NE",0.856548856548857,481,"D",112
52,"MANCHIN, Joe, III","WV",0.840248962655602,482,"D",112
1,"McCONNELL, Addison Mitchell (Mitch)","KY",0.933333333333333,480,"R",112
2,"CORNYN, John","TX",0.928270042194093,474,"R",112
3,"CHAMBLISS, Saxby","GA",0.924568965517241,464,"R",112
4.5,"THUNE, John","SD",0.923240938166311,469,"R",112
4.5,"ISAKSON, Johnny","GA",0.923240938166311,469,"R",112
6,"ENZI, Michael B.","WY",0.923076923076923,468,"R",112
7,"BARRASSO, John A.","WY",0.917021276595745,470,"R",112
8,"BOOZMAN, John","AR",0.916844349680171,469,"R",112
9,"PORTMAN, Robert Jones (Rob)","OH",0.91578947368421,475,"R",112
10,"BURR, Richard M.","NC",0.915178571428571,448,"R",112
11,"KYL, Jon Llewellyn","AZ",0.911764705882353,476,"R",112
12,"COATS, Daniel Ray","IN",0.909663865546218,476,"R",112
13,"AYOTTE, Kelly","NH",0.907563025210084,476,"R",112
14,"SESSIONS, Jefferson Beauregard III (Jeff)","AL",0.902748414376321,473,"R",112
15,"SHELBY, Richard C.","AL",0.89727463312369,477,"R",112
16,"CORKER, Robert (Bob)","TN",0.895966029723992,471,"R",112
17,"ROBERTS, Charles Patrick (Pat)","KS",0.89587852494577,461,"R",112
18,"HATCH, Orrin Grant","UT",0.895104895104895,429,"R",112
19,"ALEXANDER, Lamar","TN",0.886021505376344,465,"R",112
20,"HUTCHISON, Kathryn Ann Bailey (Kay)","TX",0.885906040268456,447,"R",112
21.5,"McCAIN, John Sidney, III","AZ",0.884444444444444,450,"R",112
21.5,"INHOFE, James Mountain","OK",0.884444444444444,450,"R",112
23,"WICKER, Roger F.","MS",0.884368308351178,467,"R",112
24,"CRAPO, Michael Dean","ID",0.883720930232558,473,"R",112
25,"TOOMEY, Patrick Joseph","PA",0.883227176220807,471,"R",112
26,"JOHNSON, Ron","WI",0.881002087682672,479,"R",112
27,"JOHANNS, Mike","NE",0.878661087866109,478,"R",112
28,"KIRK, Mark Steven","IL",0.878378378378378,222,"R",112
29,"RISCH, James","ID",0.873661670235546,467,"R",112
30,"GRASSLEY, Charles Ernest","IA",0.872916666666667,480,"R",112
31,"RUBIO, Marco","FL",0.868303571428571,448,"R",112
32,"GRAHAM, Lindsey O.","SC",0.863247863247863,468,"R",112
33,"COBURN, Thomas Allen","OK",0.857142857142857,448,"R",112
34,"LUGAR, Richard Green","IN",0.852320675105485,474,"R",112
35,"MORAN, Jerry","KS",0.85054945054945,455,"R",112
36,"BLUNT, Roy","MO",0.842217484008529,469,"R",112
37,"VITTER, David","LA",0.838636363636364,440,"R",112
38,"HOEVEN, John","ND",0.834042553191489,470,"R",112
39,"COCHRAN, William Thad","MS",0.829831932773109,476,"R",112
40,"HELLER, Dean","NV",0.7578125,384,"R",112
41,"DeMINT, James W.","SC",0.755294117647059,425,"R",112
42,"LEE, Mike","UT",0.74892703862661,466,"R",112
43,"PAUL, Rand","KY",0.745614035087719,456,"R",112
44,"MURKOWSKI, Lisa","AK",0.732456140350877,456,"R",112
45,"SNOWE, Olympia Jean","ME",0.699152542372881,472,"R",112
46,"BROWN, Scott P.","MA",0.67436974789916,476,"R",112
47,"COLLINS, Susan Margaret","ME",0.664583333333333,480,"R",112
1,"SCHATZ, Brian Emanuel","HI",0.99341021416804,607,"D",113
3,"CARDIN, Benjamin Louis","MD",0.992354740061162,654,"D",113
3,"CANTWELL, Maria E.","WA",0.992354740061162,654,"D",113
3,"FRANKEN, Al","MN",0.992354740061162,654,"D",113
5,"STABENOW, Deborah Ann","MI",0.992260061919505,646,"D",113
6,"MURRAY, Patty","WA",0.9921875,640,"D",113
7,"MIKULSKI, Barbara Ann","MD",0.992050874403816,629,"D",113
8,"SCHUMER, Charles Ellis (Chuck)","NY",0.989329268292683,656,"D",113
9,"DURBIN, Richard Joseph","IL",0.989312977099237,655,"D",113
10,"BOOKER, Cory Anthony","NJ",0.988095238095238,420,"D",113
11,"HARKIN, Thomas Richard (Tom)","IA",0.987261146496815,628,"D",113
12,"FEINSTEIN, Dianne","CA",0.987240829346092,627,"D",113
13,"BLUMENTHAL, Richard","CT",0.986259541984733,655,"D",113
14,"BALDWIN, Tammy","WI",0.986238532110092,654,"D",113
15,"KLOBUCHAR, Amy","MN",0.986196319018405,652,"D",113
16,"MENENDEZ, Robert","NJ",0.98613251155624,649,"D",113
17,"NELSON, Clarence William (Bill)","FL",0.9858934169279,638,"D",113
18,"MARKEY, Edward John","MA",0.985200845665962,473,"D",113
19,"JOHNSON, Timothy Peter (Tim)","SD",0.98468606431853,653,"D",113
20,"ROCKEFELLER, John Davison IV (Jay)","WV",0.984347826086956,575,"D",113
21,"UDALL, Mark","CO",0.983870967741935,620,"D",113
22,"HIRONO, Mazie","HI",0.983231707317073,656,"D",113
23,"COONS, Christopher A.","DE",0.982919254658385,644,"D",113
24,"BOXER, Barbara","CA",0.98202614379085,612,"D",113
25,"UDALL, Thomas (Tom)","NM",0.981679389312977,655,"D",113
26,"LEAHY, Patrick Joseph","VT",0.981538461538462,650,"D",113
27,"LEVIN, Carl","MI",0.981308411214953,642,"D",113
28.5,"MURPHY, Christopher","CT",0.980091883614089,653,"D",113
28.5,"HEINRICH, Martin","NM",0.980091883614089,653,"D",113
30.5,"GILLIBRAND, Kirsten","NY",0.979969183359014,649,"D",113
30.5,"WHITEHOUSE, Sheldon","RI",0.979969183359014,649,"D",113
32,"REED, John F. (Jack)","RI",0.978560490045942,653,"D",113
33,"BENNET, Michael F.","CO",0.978428351309707,649,"D",113
34,"KAINE, Timothy Michael (Tim)","VA",0.978395061728395,648,"D",113
35,"BROWN, Sherrod","OH",0.978361669242658,647,"D",113
36,"WARREN, Elizabeth","MA",0.976744186046512,645,"D",113
37,"CASEY, Robert (Bob), Jr.","PA",0.976452119309262,637,"D",113
38,"WALSH, John E.","MT",0.976401179941003,339,"D",113
39,"SHAHEEN, Jeanne","NH",0.975384615384615,650,"D",113
40,"CARPER, Thomas Richard","DE",0.974045801526718,655,"D",113
41,"WYDEN, Ronald Lee","OR",0.971036585365854,656,"D",113
42,"MERKLEY, Jeff","OR",0.967592592592593,648,"D",113
43,"WARNER, Mark","VA",0.965785381026439,643,"D",113
44,"REID, Harry","NV",0.958333333333333,648,"D",113
45,"BEGICH, Mark","AK",0.957236842105263,608,"D",113
46,"McCASKILL, Claire","MO",0.953225806451613,620,"D",113
47,"HAGAN, Kay","NC",0.9484375,640,"D",113
48,"DONNELLY, Joe","IN",0.946483180428135,654,"D",113
49,"TESTER, Jon","MT",0.946153846153846,650,"D",113
50,"HEITKAMP, Mary Kathryn (Heidi)","ND",0.945482866043614,642,"D",113
51,"LANDRIEU, Mary L.","LA",0.941880341880342,585,"D",113
52,"PRYOR, Mark","AR",0.92109500805153,621,"D",113
53,"BAUCUS, Max Sieben","MT",0.904153354632588,313,"D",113
54,"MANCHIN, Joe, III","WV",0.858695652173913,644,"D",113
1,"FISCHER, Debra (Deb)","NE",0.957186544342508,654,"R",113
2,"THUNE, John","SD",0.950769230769231,650,"R",113
3,"GRASSLEY, Charles Ernest","IA",0.946483180428135,654,"R",113
4,"BOOZMAN, John","AR",0.936860068259386,586,"R",113
5,"HOEVEN, John","ND",0.932098765432099,648,"R",113
6,"McCONNELL, Addison Mitchell (Mitch)","KY",0.927803379416283,651,"R",113
7,"BURR, Richard M.","NC",0.92755905511811,635,"R",113
8,"JOHNSON, Ron","WI",0.925984251968504,635,"R",113
9.5,"BARRASSO, John A.","WY",0.925925925925926,648,"R",113
9.5,"ENZI, Michael B.","WY",0.925925925925926,648,"R",113
11,"INHOFE, James Mountain","OK",0.924006908462867,579,"R",113
12,"JOHANNS, Mike","NE",0.920454545454545,616,"R",113
13,"SCOTT, Tim","SC",0.919811320754717,636,"R",113
14,"MORAN, Jerry","KS",0.918228279386712,587,"R",113
15,"TOOMEY, Patrick Joseph","PA",0.916139240506329,632,"R",113
16,"COATS, Daniel Ray","IN",0.913928012519562,639,"R",113
17,"WICKER, Roger F.","MS",0.912087912087912,637,"R",113
18,"CORNYN, John","TX",0.906793048973144,633,"R",113
19,"BLUNT, Roy","MO",0.905844155844156,616,"R",113
20,"CRAPO, Michael Dean","ID",0.905718701700155,647,"R",113
21,"ROBERTS, Charles Patrick (Pat)","KS",0.903908794788274,614,"R",113
22,"COCHRAN, William Thad","MS",0.903881700554529,541,"R",113
23,"SESSIONS, Jefferson Beauregard III (Jeff)","AL",0.903276131045242,641,"R",113
24,"PORTMAN, Robert Jones (Rob)","OH",0.899843505477308,639,"R",113
25,"RISCH, James","ID",0.895475819032761,641,"R",113
26,"VITTER, David","LA",0.889830508474576,590,"R",113
27,"CRUZ, Rafael Edward (Ted)","TX",0.888707037643208,611,"R",113
28,"SHELBY, Richard C.","AL",0.885271317829457,645,"R",113
29,"ISAKSON, Johnny","GA",0.880191693290735,626,"R",113
30,"CHAMBLISS, Saxby","GA",0.87260034904014,573,"R",113
31,"LEE, Mike","UT",0.871632329635499,631,"R",113
32,"PAUL, Rand","KY",0.871069182389937,636,"R",113
33,"RUBIO, Marco","FL",0.870279146141215,609,"R",113
34,"COBURN, Thomas Allen","OK",0.870229007633588,524,"R",113
35,"ALEXANDER, Lamar","TN",0.868852459016393,610,"R",113
36,"CORKER, Robert (Bob)","TN",0.86833855799373,638,"R",113
37,"GRAHAM, Lindsey O.","SC",0.86326194398682,607,"R",113
38,"HATCH, Orrin Grant","UT",0.8592,625,"R",113
39,"McCAIN, John Sidney, III","AZ",0.857371794871795,624,"R",113
40,"HELLER, Dean","NV",0.85,640,"R",113
41,"KIRK, Mark Steven","IL",0.838815789473684,608,"R",113
42,"FLAKE, Jeff","AZ",0.835443037974684,632,"R",113
43,"AYOTTE, Kelly","NH",0.830745341614907,644,"R",113
44,"MURKOWSKI, Lisa","AK",0.630971993410214,607,"R",113
45,"COLLINS, Susan Margaret","ME",0.608562691131499,654,"R",113
1,"HIRONO, Mazie","HI",0.981891348088531,497,"D",114
2,"BLUMENTHAL, Richard","CT",0.975806451612903,496,"D",114
3.5,"CARDIN, Benjamin Louis","MD",0.973895582329317,498,"D",114
3.5,"REED, John F. (Jack)","RI",0.973895582329317,498,"D",114
5,"MIKULSKI, Barbara Ann","MD",0.9723991507431,471,"D",114
6,"DURBIN, Richard Joseph","IL",0.971252566735113,487,"D",114
7,"SCHUMER, Charles Ellis (Chuck)","NY",0.967741935483871,496,"D",114
8,"SCHATZ, Brian Emanuel","HI",0.965656565656566,495,"D",114
9,"LEAHY, Patrick Joseph","VT",0.96530612244898,490,"D",114
10,"MURPHY, Christopher","CT",0.963636363636364,495,"D",114
11,"BOOKER, Cory Anthony","NJ",0.963265306122449,490,"D",114
12,"FRANKEN, Al","MN",0.962809917355372,484,"D",114
13,"WHITEHOUSE, Sheldon","RI",0.961693548387097,496,"D",114
14,"PETERS, Gary C.","MI",0.961303462321792,491,"D",114
15,"REID, Harry","NV",0.961098398169336,437,"D",114
16,"COONS, Christopher A.","DE",0.96049896049896,481,"D",114
17,"HEINRICH, Martin","NM",0.95959595959596,495,"D",114
18,"UDALL, Thomas (Tom)","NM",0.959514170040486,494,"D",114
19,"BALDWIN, Tammy","WI",0.955823293172691,498,"D",114
20,"GILLIBRAND, Kirsten","NY",0.955645161290323,496,"D",114
21,"STABENOW, Deborah Ann","MI",0.953156822810591,491,"D",114
22,"KLOBUCHAR, Amy","MN",0.951020408163265,490,"D",114
23,"BROWN, Sherrod","OH",0.950718685831622,487,"D",114
24,"CANTWELL, Maria E.","WA",0.949799196787149,498,"D",114
25,"MURRAY, Patty","WA",0.949186991869919,492,"D",114
26,"SHAHEEN, Jeanne","NH",0.947368421052632,494,"D",114
27,"BOXER, Barbara","CA",0.946759259259259,432,"D",114
28,"MARKEY, Edward John","MA",0.940816326530612,490,"D",114
29,"MENENDEZ, Robert","NJ",0.938650306748466,489,"D",114
30,"MERKLEY, Jeff","OR",0.937119675456389,493,"D",114
31,"WARREN, Elizabeth","MA",0.93574297188755,498,"D",114
32,"FEINSTEIN, Dianne","CA",0.934020618556701,485,"D",114
33,"NELSON, Clarence William (Bill)","FL",0.933476394849785,466,"D",114
34,"WYDEN, Ronald Lee","OR",0.932926829268293,492,"D",114
35,"CASEY, Robert (Bob), Jr.","PA",0.931034482758621,493,"D",114
36,"KAINE, Timothy Michael (Tim)","VA",0.925311203319502,482,"D",114
37,"BENNET, Michael F.","CO",0.913654618473896,498,"D",114
38,"CARPER, Thomas Richard","DE",0.907216494845361,485,"D",114
39,"TESTER, Jon","MT",0.901408450704225,497,"D",114
40,"WARNER, Mark","VA",0.898268398268398,462,"D",114
41,"McCASKILL, Claire","MO",0.861344537815126,476,"D",114
42,"DONNELLY, Joe","IN",0.797570850202429,494,"D",114
43,"HEITKAMP, Mary Kathryn (Heidi)","ND",0.792338709677419,496,"D",114
44,"MANCHIN, Joe, III","WV",0.717791411042945,489,"D",114
1,"FISCHER, Debra (Deb)","NE",0.952095808383233,501,"R",114
2,"ROBERTS, Charles Patrick (Pat)","KS",0.948979591836735,490,"R",114
3,"WICKER, Roger F.","MS",0.944897959183673,490,"R",114
4,"BOOZMAN, John","AR",0.943661971830986,497,"R",114
5,"INHOFE, James Mountain","OK",0.942622950819672,488,"R",114
6,"ERNST, Joni","IA",0.942115768463074,501,"R",114
7,"BARRASSO, John A.","WY",0.942,500,"R",114
8,"ISAKSON, Johnny","GA",0.941414141414141,495,"R",114
9,"THUNE, John","SD",0.939637826961771,497,"R",114
10,"CORNYN, John","TX",0.939024390243902,492,"R",114
11,"JOHNSON, Ron","WI",0.938144329896907,485,"R",114
12,"CASSIDY, Bill","LA",0.935353535353535,495,"R",114
13,"GRASSLEY, Charles Ernest","IA",0.932135728542914,501,"R",114
14,"TILLIS, Thomas Roland (Thom)","NC",0.931726907630522,498,"R",114
15,"HOEVEN, John","ND",0.931313131313131,495,"R",114
16,"ENZI, Michael B.","WY",0.929752066115702,484,"R",114
17,"ROUNDS, Marion Michael (Mike)","SD",0.927125506072874,494,"R",114
18,"BURR, Richard M.","NC",0.92570281124498,498,"R",114
19,"HATCH, Orrin Grant","UT",0.925553319919517,497,"R",114
20,"SULLIVAN, Daniel Scott","AK",0.923553719008264,484,"R",114
21,"COATS, Daniel Ray","IN",0.921810699588477,486,"R",114
22,"BLUNT, Roy","MO",0.916492693110647,479,"R",114
23,"COTTON, Tom","AR",0.913757700205339,487,"R",114
24,"TOOMEY, Patrick Joseph","PA",0.913232104121475,461,"R",114
25,"VITTER, David","LA",0.912941176470588,425,"R",114
26,"GARDNER, Cory","CO",0.908163265306122,490,"R",114
27,"COCHRAN, William Thad","MS",0.906693711967546,493,"R",114
28,"McCAIN, John Sidney, III","AZ",0.905544147843943,487,"R",114
29,"DAINES, Steve","MT",0.904191616766467,501,"R",114
30,"RUBIO, Marco","FL",0.90406976744186,344,"R",114
31,"PERDUE, David Alfred, Jr.","GA",0.900608519269777,493,"R",114
32,"CRAPO, Michael Dean","ID",0.9,490,"R",114
33,"RISCH, James","ID",0.899396378269618,497,"R",114
34,"SCOTT, Tim","SC",0.897959183673469,490,"R",114
35,"CAPITO, Shelley Moore","WV",0.89738430583501,497,"R",114
36,"CORKER, Robert (Bob)","TN",0.893223819301848,487,"R",114
37,"LANKFORD, James","OK",0.89,500,"R",114
38,"MORAN, Jerry","KS",0.887966804979253,482,"R",114
39,"SESSIONS, Jefferson Beauregard III (Jeff)","AL",0.887063655030801,487,"R",114
40,"SHELBY, Richard C.","AL",0.883575883575884,481,"R",114
41,"McCONNELL, Addison Mitchell (Mitch)","KY",0.880239520958084,501,"R",114
42,"ALEXANDER, Lamar","TN",0.86652977412731,487,"R",114
43,"FLAKE, Jeff","AZ",0.864583333333333,480,"R",114
44,"PORTMAN, Robert Jones (Rob)","OH",0.854251012145749,494,"R",114
45,"GRAHAM, Lindsey O.","SC",0.849206349206349,378,"R",114
46,"SASSE, Benjamin Eric","NE",0.848790322580645,496,"R",114
47,"MURKOWSKI, Lisa","AK",0.827083333333333,480,"R",114
48,"HELLER, Dean","NV",0.816872427983539,486,"R",114
49,"AYOTTE, Kelly","NH",0.807692307692308,494,"R",114
50,"CRUZ, Rafael Edward (Ted)","TX",0.8023598820059,339,"R",114
51,"KIRK, Mark Steven","IL",0.785106382978723,470,"R",114
52,"PAUL, Rand","KY",0.758403361344538,476,"R",114
53,"COLLINS, Susan Margaret","ME",0.748502994011976,501,"R",114
54,"LEE, Mike","UT",0.746236559139785,465,"R",114
1,"FRANKEN, Al","MN",0.987096774193548,310,"D",115
2,"SMITH, Tina","MN",0.981481481481482,270,"D",115
3,"KLOBUCHAR, Amy","MN",0.969491525423729,590,"D",115
4,"MURRAY, Patty","WA",0.967071057192374,577,"D",115
5,"CANTWELL, Maria E.","WA",0.966159052453469,591,"D",115
6,"CARDIN, Benjamin Louis","MD",0.965986394557823,588,"D",115
7,"BALDWIN, Tammy","WI",0.957698815566836,591,"D",115
8,"VAN HOLLEN, Christopher","MD",0.957555178268251,589,"D",115
9,"CASEY, Robert (Bob), Jr.","PA",0.956081081081081,592,"D",115
10,"WHITEHOUSE, Sheldon","RI",0.954159592529711,589,"D",115
11,"BROWN, Sherrod","OH",0.952622673434856,591,"D",115
12,"MURPHY, Christopher","CT",0.950847457627119,590,"D",115
13,"LEAHY, Patrick Joseph","VT",0.949826989619377,578,"D",115
14,"SCHUMER, Charles Ellis (Chuck)","NY",0.949324324324324,592,"D",115
15,"REED, John F. (Jack)","RI",0.947723440134907,593,"D",115
16,"HEINRICH, Martin","NM",0.943562610229277,567,"D",115
17,"DURBIN, Richard Joseph","IL",0.941176470588235,578,"D",115
18,"HASSAN, Margaret (Maggie)","NH",0.940677966101695,590,"D",115
19,"KAINE, Timothy Michael (Tim)","VA",0.93728813559322,590,"D",115
20,"UDALL, Thomas (Tom)","NM",0.93526405451448,587,"D",115
21,"DUCKWORTH, Tammy","IL",0.934489402697495,519,"D",115
22,"FEINSTEIN, Dianne","CA",0.931654676258993,556,"D",115
23,"MENENDEZ, Robert","NJ",0.927308447937132,509,"D",115
24,"SHAHEEN, Jeanne","NH",0.92695652173913,575,"D",115
25,"BLUMENTHAL, Richard","CT",0.923728813559322,590,"D",115
26,"STABENOW, Deborah Ann","MI",0.923469387755102,588,"D",115
27,"CORTEZ MASTO, Catherine Marie","NV",0.922813036020583,583,"D",115
28,"BENNET, Michael F.","CO",0.920068027210884,588,"D",115
29,"SCHATZ, Brian Emanuel","HI",0.919104991394148,581,"D",115
30,"PETERS, Gary C.","MI",0.918367346938776,588,"D",115
31,"COONS, Christopher A.","DE",0.914035087719298,570,"D",115
32,"CARPER, Thomas Richard","DE",0.909710391822828,587,"D",115
33,"HIRONO, Mazie","HI",0.905335628227194,581,"D",115
34,"WARNER, Mark","VA",0.89041095890411,584,"D",115
35,"NELSON, Clarence William (Bill)","FL",0.888288288288288,555,"D",115
36,"WYDEN, Ronald Lee","OR",0.884745762711864,590,"D",115
37,"TESTER, Jon","MT",0.88265306122449,588,"D",115
38,"MARKEY, Edward John","MA",0.86271186440678,590,"D",115
39,"BOOKER, Cory Anthony","NJ",0.860176991150442,565,"D",115
40,"HARRIS, Kamala Devi","CA",0.854483925549915,591,"D",115
41,"MERKLEY, Jeff","OR",0.850771869639794,583,"D",115
42,"McCASKILL, Claire","MO",0.847222222222222,576,"D",115
43,"WARREN, Elizabeth","MA",0.829679595278246,593,"D",115
44,"GILLIBRAND, Kirsten","NY",0.810490693739425,591,"D",115
45,"JONES, Gordon Douglas (Doug)","AL",0.807547169811321,265,"D",115
46,"DONNELLY, Joe","IN",0.793515358361775,586,"D",115
47,"HEITKAMP, Mary Kathryn (Heidi)","ND",0.781629116117851,577,"D",115
48,"MANCHIN, Joe, III","WV",0.738539898132428,589,"D",115
1,"COCHRAN, William Thad","MS",0.997142857142857,350,"R",115
