"rank","name","state_abbrev","party_loyalty","votes_cast","party","congress"
2,"THUNE, John","SD",0.991624790619765,597,"R",115
3,"CORNYN, John","TX",0.989915966386555,595,"R",115
4,"BOOZMAN, John","AR",0.989881956155143,593,"R",115
5,"HOEVEN, John","ND",0.988135593220339,590,"R",115
6,"BLUNT, Roy","MO",0.987993138936535,583,"R",115
7,"TILLIS, Thomas Roland (Thom)","NC",0.98758865248227,564,"R",115
8,"McCONNELL, Addison Mitchell (Mitch)","KY",0.986577181208054,596,"R",115
9,"WICKER, Roger F.","MS",0.983193277310924,595,"R",115
10,"ISAKSON, Johnny","GA",0.983082706766917,532,"R",115
11,"ROBERTS, Charles Patrick (Pat)","KS",0.983050847457627,590,"R",115
12,"INHOFE, James Mountain","OK",0.982817869415808,582,"R",115
13.5,"PORTMAN, Robert Jones (Rob)","OH",0.981450252951096,593,"R",115
13.5,"FISCHER, Debra (Deb)","NE",0.981450252951096,593,"R",115
15,"SCOTT, Tim","SC",0.981418918918919,592,"R",115
16,"ROUNDS, Marion Michael (Mike)","SD",0.981292517006803,588,"R",115
17,"BURR, Richard M.","NC",0.980769230769231,572,"R",115
18,"HATCH, Orrin Grant","UT",0.97979797979798,594,"R",115
19,"CAPITO, Shelley Moore","WV",0.978003384094755,591,"R",115
20,"YOUNG, Todd","IN",0.976391231028668,593,"R",115
21,"SHELBY, Richard C.","AL",0.976351351351351,592,"R",115
22,"PERDUE, David Alfred, Jr.","GA",0.976230899830221,589,"R",115
23,"SULLIVAN, Daniel Scott","AK",0.974048442906574,578,"R",115
24,"ERNST, Joni","IA",0.973154362416107,596,"R",115
25,"GARDNER, Cory","CO",0.973109243697479,595,"R",115
26,"STRANGE, Luther  Johnson, III","AL",0.972549019607843,255,"R",115
27,"RUBIO, Marco","FL",0.969804618117229,563,"R",115
28,"COTTON, Tom","AR",0.969747899159664,595,"R",115
29,"CASSIDY, Bill","LA",0.969543147208122,591,"R",115
30,"ALEXANDER, Lamar","TN",0.968421052631579,570,"R",115
31,"BARRASSO, John A.","WY",0.968120805369127,596,"R",115
32,"GRAHAM, Lindsey O.","SC",0.967914438502674,561,"R",115
33,"GRASSLEY, Charles Ernest","IA",0.966499162479062,597,"R",115
34,"HYDE-SMITH, Cindy","MS",0.965686274509804,204,"R",115
35.5,"CRAPO, Michael Dean","ID",0.964527027027027,592,"R",115
35.5,"JOHNSON, Ron","WI",0.964527027027027,592,"R",115
37,"ENZI, Michael B.","WY",0.958053691275168,596,"R",115
38,"LANKFORD, James","OK",0.957983193277311,595,"R",115
39,"CRUZ, Rafael Edward (Ted)","TX",0.955752212389381,565,"R",115
40,"RISCH, James","ID",0.954391891891892,592,"R",115
41,"MORAN, Jerry","KS",0.952714535901926,571,"R",115
42,"KENNEDY, John Neely","LA",0.951260504201681,595,"R",115
43,"DAINES, Steve","MT",0.949579831932773,595,"R",115
44,"SASSE, Benjamin Eric","NE",0.94585448392555,591,"R",115
45,"CORKER, Robert (Bob)","TN",0.942307692307692,572,"R",115
46,"TOOMEY, Patrick Joseph","PA",0.9402460456942,569,"R",115
47,"HELLER, Dean","NV",0.940140845070423,568,"R",115
48,"MURKOWSKI, Lisa","AK",0.929065743944637,578,"R",115
49,"McCAIN, John Sidney, III","AZ",0.925266903914591,281,"R",115
50,"FLAKE, Jeff","AZ",0.917883211678832,548,"R",115
51,"COLLINS, Susan Margaret","ME",0.90284757118928,597,"R",115
52,"LEE, Mike","UT",0.839863713798978,587,"R",115
53,"PAUL, Rand","KY",0.800347222222222,576,"R",115
1,"BENNET, Michael F.","CO",0.947098976109215,586,"D",116
2,"CASEY, Robert (Bob), Jr.","PA",0.946927374301676,716,"D",116
3,"DURBIN, Richard Joseph","IL",0.946099290780142,705,"D",116
4,"CARDIN, Benjamin Louis","MD",0.945791726105564,701,"D",116
5,"CORTEZ MASTO, Catherine Marie","NV",0.945224719101124,712,"D",116
6,"FEINSTEIN, Dianne","CA",0.94059405940594,707,"D",116
7,"REED, John F. (Jack)","RI",0.93969144460028,713,"D",116
8,"ROSEN, Jacklyn Sheryl","NV",0.939606741573034,712,"D",116
9,"DUCKWORTH, Tammy","IL",0.938040345821326,694,"D",116
10,"PETERS, Gary C.","MI",0.937062937062937,715,"D",116
11,"BALDWIN, Tammy","WI",0.936974789915966,714,"D",116
12,"KAINE, Timothy Michael (Tim)","VA",0.935622317596567,699,"D",116
13,"SMITH, Tina","MN",0.933802816901408,710,"D",116
14,"WHITEHOUSE, Sheldon","RI",0.933333333333333,660,"D",116
15,"HEINRICH, Martin","NM",0.931884057971014,690,"D",116
16,"COONS, Christopher A.","DE",0.930535455861071,691,"D",116
17,"LEAHY, Patrick Joseph","VT",0.927953890489914,694,"D",116
18,"UDALL, Thomas (Tom)","NM",0.926031294452347,703,"D",116
19,"WARNER, Mark","VA",0.923741007194245,695,"D",116
20,"STABENOW, Deborah Ann","MI",0.923641703377386,681,"D",116
21,"TESTER, Jon","MT",0.916546762589928,695,"D",116
22,"SHAHEEN, Jeanne","NH",0.912552891396333,709,"D",116
23,"MENENDEZ, Robert","NJ",0.911392405063291,711,"D",116
24,"BROWN, Sherrod","OH",0.909090909090909,704,"D",116
25,"HASSAN, Margaret (Maggie)","NH",0.903496503496503,715,"D",116
26,"VAN HOLLEN, Christopher","MD",0.900699300699301,715,"D",116
27,"MURRAY, Patty","WA",0.89807976366322,677,"D",116
28,"CANTWELL, Maria E.","WA",0.89703808180536,709,"D",116
29,"CARPER, Thomas Richard","DE",0.887640449438202,712,"D",116
30,"SCHATZ, Brian Emanuel","HI",0.877941176470588,680,"D",116
31,"MURPHY, Christopher","CT",0.876404494382023,712,"D",116
32,"BLUMENTHAL, Richard","CT",0.874471086036671,709,"D",116
33,"SCHUMER, Charles Ellis (Chuck)","NY",0.868715083798883,716,"D",116
34,"KLOBUCHAR, Amy","MN",0.85207100591716,507,"D",116
35,"WYDEN, Ronald Lee","OR",0.843971631205674,705,"D",116
36,"HIRONO, Mazie","HI",0.826398852223816,697,"D",116
37,"BOOKER, Cory Anthony","NJ",0.826291079812207,426,"D",116
38,"MERKLEY, Jeff","OR",0.821378340365682,711,"D",116
39,"WARREN, Elizabeth","MA",0.780092592592593,432,"D",116
40,"JONES, Gordon Douglas (Doug)","AL",0.777941176470588,680,"D",116
41,"SINEMA, Kyrsten","AZ",0.765601217656012,657,"D",116
42,"HARRIS, Kamala Devi","CA",0.7625,320,"D",116
43,"GILLIBRAND, Kirsten","NY",0.762376237623762,606,"D",116
44,"MARKEY, Edward John","MA",0.74375,640,"D",116
45,"MANCHIN, Joe, III","WV",0.736842105263158,703,"D",116
1,"CRAMER, Kevin","ND",0.992857142857143,700,"R",116
2,"THUNE, John","SD",0.990223463687151,716,"R",116
3,"HOEVEN, John","ND",0.990112994350282,708,"R",116
4,"WICKER, Roger F.","MS",0.986072423398329,718,"R",116
5,"CAPITO, Shelley Moore","WV",0.985294117647059,680,"R",116
6,"BOOZMAN, John","AR",0.984700973574409,719,"R",116
7,"ROBERTS, Charles Patrick (Pat)","KS",0.98389458272328,683,"R",116
8,"BURR, Richard M.","NC",0.98256735340729,631,"R",116
9,"ISAKSON, Johnny","GA",0.982456140350877,285,"R",116
10,"HYDE-SMITH, Cindy","MS",0.981612446958982,707,"R",116
11,"BLUNT, Roy","MO",0.981534090909091,704,"R",116
12,"PERDUE, David Alfred, Jr.","GA",0.981072555205047,634,"R",116
13,"PORTMAN, Robert Jones (Rob)","OH",0.980281690140845,710,"R",116
14,"FISCHER, Debra (Deb)","NE",0.978386167146974,694,"R",116
15,"CORNYN, John","TX",0.976123595505618,712,"R",116
16,"McSALLY, Martha","AZ",0.975497702909648,653,"R",116
17,"TILLIS, Thomas Roland (Thom)","NC",0.975073313782991,682,"R",116
18,"LOEFFLER, Kelly","GA",0.97489539748954,239,"R",116
19,"GRASSLEY, Charles Ernest","IA",0.974612129760226,709,"R",116
20,"ROUNDS, Marion Michael (Mike)","SD",0.97456279809221,629,"R",116
21,"GRAHAM, Lindsey O.","SC",0.973837209302326,688,"R",116
22,"McCONNELL, Addison Mitchell (Mitch)","KY",0.973574408901252,719,"R",116
23,"CRAPO, Michael Dean","ID",0.970629370629371,715,"R",116
24,"SHELBY, Richard C.","AL",0.970588235294118,714,"R",116
25,"COTTON, Tom","AR",0.97054698457223,713,"R",116
26,"RUBIO, Marco","FL",0.969253294289897,683,"R",116
27,"SCOTT, Tim","SC",0.96914446002805,713,"R",116
28,"GARDNER, Cory","CO",0.968660968660969,702,"R",116
29,"CASSIDY, Bill","LA",0.967310549777117,673,"R",116
30,"ERNST, Joni","IA",0.966053748231966,707,"R",116
31,"SULLIVAN, Daniel Scott","AK",0.965665236051502,699,"R",116
32,"BARRASSO, John A.","WY",0.965229485396384,719,"R",116
33,"ALEXANDER, Lamar","TN",0.964163822525597,586,"R",116
34,"RISCH, James","ID",0.962910128388017,701,"R",116
35,"JOHNSON, Ron","WI",0.962373371924747,691,"R",116
36,"INHOFE, James Mountain","OK",0.961318051575931,698,"R",116
37,"SCOTT, Richard Lynn (Rick)","FL",0.961038961038961,693,"R",116
38,"ENZI, Michael B.","WY",0.957910014513788,689,"R",116
39,"LANKFORD, James","OK",0.954102920723227,719,"R",116
40,"ROMNEY, Willard Mitt (Mitt)","UT",0.949509116409537,713,"R",116
41,"YOUNG, Todd","IN",0.949008498583569,706,"R",116
42,"MORAN, Jerry","KS",0.945736434108527,645,"R",116
43,"SASSE, Benjamin Eric","NE",0.945323741007194,695,"R",116
44,"DAINES, Steve","MT",0.944915254237288,708,"R",116
45,"HAWLEY, Joshua David","MO",0.941258741258741,715,"R",116
46,"BLACKBURN, Marsha","TN",0.937765205091938,707,"R",116
47,"MURKOWSKI, Lisa","AK",0.935820895522388,670,"R",116
48,"TOOMEY, Patrick Joseph","PA",0.934593023255814,688,"R",116
49,"KENNEDY, John Neely","LA",0.928977272727273,704,"R",116
50,"BRAUN, Michael","IN",0.927068723702665,713,"R",116
51,"CRUZ, Rafael Edward (Ted)","TX",0.91776798825257,681,"R",116
52,"COLLINS, Susan Margaret","ME",0.885952712100139,719,"R",116
53,"LEE, Mike","UT",0.841584158415842,707,"R",116
54,"PAUL, Rand","KY",0.79601226993865,652,"R",116
1,"DURBIN, Richard Joseph","IL",0.998942917547569,946,"D",117
2,"CANTWELL, Maria E.","WA",0.997870074547391,939,"D",117
3,"VAN HOLLEN, Christopher","MD",0.997777777777778,900,"D",117
4,"MURRAY, Patty","WA",0.996746203904555,922,"D",117
5,"WARNER, Mark","VA",0.995708154506438,932,"D",117
6,"DUCKWORTH, Tammy","IL",0.995694294940797,929,"D",117
7,"LEAHY, Patrick Joseph","VT",0.99548532731377,886,"D",117
8,"FEINSTEIN, Dianne","CA",0.995215311004785,836,"D",117
9,"REED, John F. (Jack)","RI",0.994714587737844,946,"D",117
10,"STABENOW, Deborah Ann","MI",0.994686503719447,941,"D",117
11,"BROWN, Sherrod","OH",0.994675186368477,939,"D",117
12,"PADILLA, Alejandro (Alex)","CA",0.99465811965812,936,"D",117
13,"CASEY, Robert (Bob), Jr.","PA",0.994652406417112,935,"D",117
14,"PETERS, Gary C.","MI",0.994635193133047,932,"D",117
15,"COONS, Christopher A.","DE",0.993637327677625,943,"D",117
16,"CARDIN, Benjamin Louis","MD",0.993610223642173,939,"D",117
17,"WHITEHOUSE, Sheldon","RI",0.993596584845251,937,"D",117
18,"SCHATZ, Brian Emanuel","HI",0.993569131832797,933,"D",117
19,"HEINRICH, Martin","NM",0.993520518358531,926,"D",117
20,"KAINE, Timothy Michael (Tim)","VA",0.993449781659389,916,"D",117
21,"LUJÁN, Ben Ray","NM",0.993135011441648,874,"D",117
22,"HIRONO, Mazie","HI",0.992561105207226,941,"D",117
23,"KLOBUCHAR, Amy","MN",0.992529348986126,937,"D",117
24,"MURPHY, Christopher","CT",0.99247311827957,930,"D",117
25,"GILLIBRAND, Kirsten","NY",0.991489361702128,940,"D",117
26,"SMITH, Tina","MN",0.991480298189563,939,"D",117
27,"BENNET, Michael F.","CO",0.991397849462366,930,"D",117
28,"SHAHEEN, Jeanne","NH",0.991130820399113,902,"D",117
29,"BALDWIN, Tammy","WI",0.990405117270789,938,"D",117
30,"BLUMENTHAL, Richard","CT",0.990374331550802,935,"D",117
31,"WYDEN, Ronald Lee","OR",0.989350372736954,939,"D",117
32,"HICKENLOOPER, John Wright","CO",0.989165763813651,923,"D",117
33,"MENENDEZ, Robert","NJ",0.989106753812636,918,"D",117
34,"CARPER, Thomas Richard","DE",0.988372093023256,946,"D",117
35,"WARNOCK, Raphael Gamaliel","GA",0.984444444444444,900,"D",117
36,"SCHUMER, Charles Ellis (Chuck)","NY",0.983957219251337,935,"D",117
37,"ROSEN, Jacklyn Sheryl","NV",0.983801295896328,926,"D",117
38,"BOOKER, Cory Anthony","NJ",0.983766233766234,924,"D",117
39,"OSSOFF, Thomas Jonathan (Jon)","GA",0.983480176211454,908,"D",117
40,"CORTEZ MASTO, Catherine Marie","NV",0.981991525423729,944,"D",117
41,"MERKLEY, Jeff","OR",0.981339187705818,911,"D",117
42,"WARREN, Elizabeth","MA",0.976670201484624,943,"D",117
43,"HASSAN, Margaret (Maggie)","NH",0.976595744680851,940,"D",117
44,"TESTER, Jon","MT",0.97571277719113,947,"D",117
45,"MARKEY, Edward John","MA",0.975453575240128,937,"D",117
46,"KELLY, Mark Edward","AZ",0.973118279569892,930,"D",117
47,"SINEMA, Kyrsten","AZ",0.968236582694414,913,"D",117
48,"MANCHIN, Joe, III","WV",0.926991150442478,904,"D",117
1,"INHOFE, James Mountain","OK",0.952774498229044,847,"R",117
2,"BARRASSO, John A.","WY",0.947245017584994,853,"R",117
3,"THUNE, John","SD",0.946751863684771,939,"R",117
4,"DAINES, Steve","MT",0.938616071428571,896,"R",117
5,"BOOZMAN, John","AR",0.938428874734607,942,"R",117
6,"FISCHER, Debra (Deb)","NE",0.936750272628135,917,"R",117
7,"HOEVEN, John","ND",0.935939196525516,921,"R",117
8,"LANKFORD, James","OK",0.934182590233546,942,"R",117
9,"MARSHALL, Roger Wayne","KS",0.926486486486486,925,"R",117
10,"HYDE-SMITH, Cindy","MS",0.922992299229923,909,"R",117
11,"JOHNSON, Ron","WI",0.922818791946309,894,"R",117
12,"SCOTT, Tim","SC",0.919268030139935,929,"R",117
13,"SASSE, Benjamin Eric","NE",0.918253079507279,893,"R",117
14,"LUMMIS, Cynthia M.","WY",0.917502787068004,897,"R",117
15,"ERNST, Joni","IA",0.917121046892039,917,"R",117
16,"COTTON, Tom","AR",0.9140708915145,931,"R",117
17,"RISCH, James","ID",0.913734392735528,881,"R",117
18,"RUBIO, Marco","FL",0.913140311804009,898,"R",117
19,"HAGERTY, William Francis (Bill)","TN",0.912052117263844,921,"R",117
20,"BLACKBURN, Marsha","TN",0.911534154535274,893,"R",117
21,"CRAMER, Kevin","ND",0.909200968523002,826,"R",117
22,"SHELBY, Richard C.","AL",0.906712172923777,879,"R",117
23,"CRUZ, Rafael Edward (Ted)","TX",0.906636670416198,889,"R",117
24,"MORAN, Jerry","KS",0.90599294947121,851,"R",117
25,"KENNEDY, John Neely","LA",0.904921700223714,894,"R",117
26,"SCOTT, Richard Lynn (Rick)","FL",0.903121636167923,929,"R",117
27,"BRAUN, Michael","IN",0.901301518438178,922,"R",117
28,"CRAPO, Michael Dean","ID",0.901181525241676,931,"R",117
29,"TUBERVILLE, Thomas Hawley (Tommy)","AL",0.898815931108719,929,"R",117
30,"LEE, Mike","UT",0.88604898828541,939,"R",117
31,"WICKER, Roger F.","MS",0.881156316916488,934,"R",117
32,"SULLIVAN, Daniel Scott","AK",0.875838926174497,894,"R",117
33,"HAWLEY, Joshua David","MO",0.872317596566524,932,"R",117
34,"TOOMEY, Patrick Joseph","PA",0.871886120996441,843,"R",117
35,"CASSIDY, Bill","LA",0.86970684039088,921,"R",117
36,"PAUL, Rand","KY",0.861990950226244,884,"R",117
37,"YOUNG, Todd","IN",0.851731601731602,924,"R",117
38,"McCONNELL, Addison Mitchell (Mitch)","KY",0.847567567567568,925,"R",117
39,"CORNYN, John","TX",0.83689538807649,889,"R",117
40,"GRASSLEY, Charles Ernest","IA",0.819620253164557,948,"R",117
41,"BURR, Richard M.","NC",0.803439803439803,814,"R",117
42,"ROUNDS, Marion Michael (Mike)","SD",0.782726045883941,741,"R",117
43,"CAPITO, Shelley Moore","WV",0.782135076252723,918,"R",117
44,"TILLIS, Thomas Roland (Thom)","NC",0.772009029345372,886,"R",117
45,"BLUNT, Roy","MO",0.76878612716763,865,"R",117
46,"ROMNEY, Willard Mitt (Mitt)","UT",0.758314855875831,902,"R",117
47,"PORTMAN, Robert Jones (Rob)","OH",0.738173817381738,909,"R",117
48,"GRAHAM, Lindsey O.","SC",0.636994219653179,865,"R",117
49,"MURKOWSKI, Lisa","AK",0.545866364665912,883,"R",117
50,"COLLINS, Susan Margaret","ME",0.473628691983122,948,"R",117
1,"SMITH, Tina","MN",0.998144712430427,539,"D",118
2,"BLUMENTHAL, Richard","CT",0.996363636363636,550,"D",118
3.5,"GILLIBRAND, Kirsten","NY",0.994505494505495,546,"D",118
3.5,"DUCKWORTH, Tammy","IL",0.994505494505495,546,"D",118
5,"SCHATZ, Brian Emanuel","HI",0.994475138121547,543,"D",118
6,"WARNOCK, Raphael Gamaliel","GA",0.994339622641509,530,"D",118
7,"CARPER, Thomas Richard","DE",0.992740471869328,551,"D",118
8,"WHITEHOUSE, Sheldon","RI",0.992633517495396,543,"D",118
9,"REED, John F. (Jack)","RI",0.990974729241877,554,"D",118
10,"CORTEZ MASTO, Catherine Marie","NV",0.990825688073395,545,"D",118
11,"STABENOW, Deborah Ann","MI",0.990689013035382,537,"D",118
12,"COONS, Christopher A.","DE",0.990601503759398,532,"D",118
13,"OSSOFF, Thomas Jonathan (Jon)","GA",0.989010989010989,546,"D",118
14.5,"KLOBUCHAR, Amy","MN",0.988950276243094,543,"D",118
14.5,"MURRAY, Patty","WA",0.988950276243094,543,"D",118
16,"SHAHEEN, Jeanne","NH",0.988636363636364,528,"D",118
17.5,"HEINRICH, Martin","NM",0.987226277372263,548,"D",118
17.5,"HASSAN, Margaret (Maggie)","NH",0.987226277372263,548,"D",118
19,"BUTLER, Laphonza Romanique","CA",0.986301369863014,292,"D",118
20,"CANTWELL, Maria E.","WA",0.985374771480804,547,"D",118
21,"CASEY, Robert (Bob), Jr.","PA",0.985074626865672,536,"D",118
22,"PADILLA, Alejandro (Alex)","CA",0.984819734345351,527,"D",118
23,"FETTERMAN, John Karl","PA",0.984444444444444,450,"D",118
24,"PETERS, Gary C.","MI",0.983636363636364,550,"D",118
25,"LUJÁN, Ben Ray","NM",0.983606557377049,549,"D",118
26,"WARNER, Mark","VA",0.983576642335766,548,"D",118
27,"HICKENLOOPER, John Wright","CO",0.983333333333333,540,"D",118
28,"BENNET, Michael F.","CO",0.981818181818182,550,"D",118
29,"KELLY, Mark Edward","AZ",0.981167608286252,531,"D",118
30,"SCHUMER, Charles Ellis (Chuck)","NY",0.980036297640653,551,"D",118
31,"CARDIN, Benjamin Louis","MD",0.979779411764706,544,"D",118
32,"DURBIN, Richard Joseph","IL",0.978217821782178,505,"D",118
33,"HIRONO, Mazie","HI",0.974683544303797,553,"D",118
34,"KAINE, Timothy Michael (Tim)","VA",0.97463768115942,552,"D",118
35,"MURPHY, Christopher","CT",0.97459165154265,551,"D",118
36,"BOOKER, Cory Anthony","NJ",0.97148288973384,526,"D",118
37,"BALDWIN, Tammy","WI",0.970961887477314,551,"D",118
38,"VAN HOLLEN, Christopher","MD",0.969202898550725,552,"D",118
39,"ROSEN, Jacklyn Sheryl","NV",0.967509025270758,554,"D",118
40,"WYDEN, Ronald Lee","OR",0.967391304347826,552,"D",118
41,"MENENDEZ, Robert","NJ",0.966067864271457,501,"D",118
42,"BROWN, Sherrod","OH",0.965137614678899,545,"D",118
43,"WELCH, Peter","VT",0.959558823529412,544,"D",118
44,"WARREN, Elizabeth","MA",0.945355191256831,549,"D",118
45,"MERKLEY, Jeff","OR",0.94413407821229,537,"D",118
46,"MARKEY, Edward John","MA",0.935064935064935,539,"D",118
47,"TESTER, Jon","MT",0.93418647166362,547,"D",118
48,"MANCHIN, Joe, III","WV",0.818548387096774,496,"D",118
1,"COTTON, Tom","AR",0.977229601518027,527,"R",118
2,"FISCHER, Debra (Deb)","NE",0.972677595628415,549,"R",118
3,"BARRASSO, John A.","WY",0.965831435079727,439,"R",118
4,"HYDE-SMITH, Cindy","MS",0.952919020715631,531,"R",118
5,"BOOZMAN, John","AR",0.951940850277264,541,"R",118
6,"RICKETTS, John Peter (Pete)","NE",0.945386064030132,531,"R",118
7,"LANKFORD, James","OK",0.945155393053016,547,"R",118
8,"BRITT, Katie Elizabeth","AL",0.94015444015444,518,"R",118
9,"MULLIN, Markwayne","OK",0.938223938223938,518,"R",118
10,"THUNE, John","SD",0.932971014492754,552,"R",118
11,"ERNST, Joni","IA",0.932835820895522,536,"R",118
12,"BUDD, Theodore Paul","NC",0.932584269662921,534,"R",118
13,"HAGERTY, William Francis (Bill)","TN",0.92914979757085,494,"R",118
14,"BLACKBURN, Marsha","TN",0.9272030651341,522,"R",118
15,"SCOTT, Tim","SC",0.927184466019418,412,"R",118
16,"RUBIO, Marco","FL",0.921153846153846,520,"R",118
17,"WICKER, Roger F.","MS",0.918819188191882,542,"R",118
18,"RISCH, James","ID",0.91683569979716,493,"R",118
19,"HOEVEN, John","ND",0.916044776119403,536,"R",118
20,"CRAPO, Michael Dean","ID",0.915221579961464,519,"R",118
21,"CRUZ, Rafael Edward (Ted)","TX",0.9140625,512,"R",118
22,"CORNYN, John","TX",0.908921933085502,538,"R",118
23,"JOHNSON, Ron","WI",0.908239700374532,534,"R",118
24,"CRAMER, Kevin","ND",0.907444668008048,497,"R",118
25,"DAINES, Steve","MT",0.899621212121212,528,"R",118
26,"LUMMIS, Cynthia M.","WY",0.898467432950192,522,"R",118
27,"SULLIVAN, Daniel Scott","AK",0.879310344827586,522,"R",118
28,"SCOTT, Richard Lynn (Rick)","FL",0.87719298245614,513,"R",118
29,"TUBERVILLE, Thomas Hawley (Tommy)","AL",0.876923076923077,520,"R",118
30,"CAPITO, Shelley Moore","WV",0.872623574144487,526,"R",118
31,"McCONNELL, Addison Mitchell (Mitch)","KY",0.872340425531915,517,"R",118
32,"CASSIDY, Bill","LA",0.870967741935484,527,"R",118
33,"MORAN, Jerry","KS",0.860834990059642,503,"R",118
34,"GRASSLEY, Charles Ernest","IA",0.857404021937843,547,"R",118
35,"SCHMITT, Eric Stephen","MO",0.853053435114504,524,"R",118
36,"KENNEDY, John Neely","LA",0.848314606741573,534,"R",118
37,"VANCE, James David","OH",0.84765625,512,"R",118
38,"YOUNG, Todd","IN",0.845588235294118,544,"R",118
39,"BRAUN, Michael","IN",0.842,500,"R",118
40,"MARSHALL, Roger Wayne","KS",0.836812144212524,527,"R",118
41,"LEE, Mike","UT",0.829174664107486,521,"R",118
42,"ROMNEY, Willard Mitt (Mitt)","UT",0.823300970873786,515,"R",118
43,"HAWLEY, Joshua David","MO",0.821917808219178,511,"R",118
44,"PAUL, Rand","KY",0.805714285714286,525,"R",118
45,"ROUNDS, Marion Michael (Mike)","SD",0.802583025830258,542,"R",118
46,"TILLIS, Thomas Roland (Thom)","NC",0.792682926829268,492,"R",118
47,"GRAHAM, Lindsey O.","SC",0.663461538461538,520,"R",118
48,"MURKOWSKI, Lisa","AK",0.534971644612476,529,"R",118
49,"COLLINS, Susan Margaret","ME",0.514492753623188,552,"R",118
